abbrev,state,povertyRate,avgHHIncome,year,colorsID
CT,Connecticut,9.69,79723,2020,259.62
DE,Delaware,10.9,71335,2020,282.19
FL,Florida,12.4,61724,2020,3764.09
GA,Georgia,14,62800,2020,2860.84
HI,Hawaii,8.90,86878,2020,401.84
ID,Idaho,10.1,62603,2020,2078.89
IL,Illinois,11,71243,2020,8709.48
IN,Indiana,11.6,60794,2020,5050.23
IA,Iowa,10.1,62362,2020,11273.76
KS,Kansas,10.6,63214,2020,4589.01
KY,Kentucky,14.9,54074,2020,1889.15
LA,Louisiana,17.8,51730,2020,1914.23
ME,Maine,10.6,59145,2020,278.37
MD,Maryland,9,88589,2020,692.75
MA,Massachusetts,9.40,87288,2020,248.65
MI,Michigan,12.6,61352,2020,3164.16
MN,Minnesota,8.30,75489,2020,7192.33
MS,Mississippi,18.6,47368,2020,2170.8
MO,Missouri,12.1,58812,2020,3933.42
MT,Montana,12.4,57730,2020,1718
NE,Nebraska,9.19,64735,2020,7114.13
NV,Nevada,12.5,64608,2020,139.89
NH,New Hampshire,7,81415,2020,73.06
NJ,New Jersey,9.40,87095,2020,500.4
NM,New Mexico,16.8,52285,2020,751.58
NY,New York,12.6,73354,2020,1488.9
NC,North Carolina,12.9,59616,2020,3806.05
ND,North Dakota,10.1,64289,2020,3761.96
OH,Ohio,12.6,60360,2020,3979.79
OK,Oklahoma,14.3,54512,2020,1646.41
OR,Oregon,11,67832,2020,1794.57
PA,Pennsylvania,10.9,64898,2020,1969.87
RI,Rhode Island,10.6,73919,2020,31.59
SC,South Carolina,13.8,57216,2020,929.93
SD,South Dakota,11.6,61149,2020,3770.19
TN,Tennessee,13.6,56962,2020,1535.13
TX,Texas,13.4,66048,2020,6648.22
UT,Utah,7.29,77785,2020,453.39
VT,Vermont,9.40,67717,2020,180.14
VA,Virginia,9.19,79154,2020,1146.48
WA,Washington,9.5,80319,2020,3894.81
WV,West Virginia,15.8,49202,2020,138.89
WI,Wisconsin,10,64901,2020,3090.23
WY,Wyoming,9.19,67284,2020,349.69
AL,Alabama,16.3,53990,2021,1390.63
AK,Alaska,10.8,78437,2021,13.31
AZ,Arizona,12.9,68967,2021,1463.17
AR,Arkansas,16,52577,2021,3586.02
CA,California,12.3,84831,2021,16472.88
CO,Colorado,9.69,82228,2021,1851.33
CT,Connecticut,10.1,83628,2021,259.62
DE,Delaware,11.5,71636,2021,282.19
FL,Florida,13.1,63054,2021,3764.09
GA,Georgia,14.1,66507,2021,2860.84
HI,Hawaii,10.9,85547,2021,401.84
ID,Idaho,10.8,66318,2021,2078.89
IL,Illinois,12.1,72215,2021,8709.48
IN,Indiana,12.1,62723,2021,5050.23
IA,Iowa,11,65645,2021,11273.76
KS,Kansas,11.6,64128,2021,4589.01
KY,Kentucky,16.3,55532,2021,1889.15
LA,Louisiana,19.5,52090,2021,1914.23
ME,Maine,11.1,64823,2021,278.37
MD,Maryland,10.3,90129,2021,692.75
MA,Massachusetts,10.4,89577,2021,248.65
MI,Michigan,13,63444,2021,3164.16
MN,Minnesota,9.30,77712,2021,7192.33
MS,Mississippi,19.1,48871,2021,2170.8
MO,Missouri,12.8,61815,2021,3933.42
MT,Montana,12,63357,2021,1718
NE,Nebraska,10.5,66949,2021,7114.13
NV,Nevada,14,66194,2021,139.89
NH,New Hampshire,7.40,88268,2021,73.06
NJ,New Jersey,10.1,89227,2021,500.4
NM,New Mexico,17.6,54304,2021,751.58
NY,New York,14,74230,2021,1488.9
